block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
73;sobel;sobel.c:21-30;44.2;5.56;;;;;;
82;sobel;sobel.c:204-214;40.11;5.04;;;;;;
78;sobel;sobel.c:209-214;0.7;0.09;;;;;;
86;sobel;sobel.c:209-214;0.17;0.02;;;;;;
79;sobel;sobel.c:204-214;0.14;0.02;;;;;;
81;sobel;sobel.c:204-204;0.04;0;;;;;;
83;sobel;sobel.c:204-204;0.04;0;;;;;;
101;sobel;sobel.c:204-204;0.02;0;;;;;;
85;sobel;sobel.c:209-214;0.02;0;;;;;;
72;sobel;sobel.c:21-299;0.01;0;;;;;;
90;sobel;sobel.c:202-323,rdtsc.h:9-11;0.01;0;;;;;;
75;sobel;sobel.c:204-204;0.01;0;;;;;;
93;sobel;sobel.c:331-331,stdio2.h:100-100;0.01;0;;;;;;
84;sobel;sobel.c:202-202;0.01;0;;;;;;
88;sobel;sobel.c:204-214;0.01;0;;;;;;
77;sobel;sobel.c:204-313;0.01;0;;;;;;
