block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
73;sobel;sobel.c:21-30;34.24;5.56;;;;;;
82;sobel;sobel.c:204-214;30.91;5.02;;;;;;
78;sobel;sobel.c:209-214;0.51;0.08;;;;;;
86;sobel;sobel.c:209-214;0.2;0.03;;;;;;
79;sobel;sobel.c:204-214;0.1;0.02;;;;;;
81;sobel;sobel.c:204-204;0.06;0.01;;;;;;
101;sobel;sobel.c:204-204;0.04;0.01;;;;;;
77;sobel;sobel.c:204-313;0.02;0;;;;;;
83;sobel;sobel.c:204-204;0.02;0;;;;;;
89;sobel;sobel.c:214-214;0.01;0;;;;;;
84;sobel;sobel.c:202-202;0.01;0;;;;;;
87;sobel;sobel.c:204-214;0.01;0;;;;;;
88;sobel;sobel.c:204-214;0.01;0;;;;;;
