block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
71;sobel;sobel.c:21-30;25.18;2.79;;;;;;
80;sobel;sobel.c:204-214;22.5;2.49;;;;;;
76;sobel;sobel.c:209-214;0.49;0.05;;;;;;
84;sobel;sobel.c:209-214;0.1;0.01;;;;;;
77;sobel;sobel.c:204-214;0.04;0;;;;;;
79;sobel;sobel.c:204-204;0.02;0;;;;;;
75;sobel;sobel.c:204-313;0.02;0;;;;;;
81;sobel;sobel.c:204-204;0.01;0;;;;;;
83;sobel;sobel.c:209-214;0.01;0;;;;;;
86;sobel;sobel.c:204-214;0.01;0;;;;;;
